Time,Inspector1Busy,Inspector2Busy,WorkStation1Busy,W1Buffer0,Workstation2Busy,W2Buffer0,W2Buffer1,W3Busy,W3Buffer0,W3Buffer1,Component1Produced,Component2Produced,Component3Produced,,,,
1843.21522,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1851.076362,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1851.401601,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1866.809739,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1872.954353,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1880.847527,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1882.614632,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1893.247298,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1894.893043,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1901.756262,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1903.236297,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1904.049752,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1931.846014,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1931.863625,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1937.88197,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1942.653831,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1942.894815,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1946.147725,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1953.864231,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1965.380509,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1972.89484,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
2000.412058,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
